age,gender,allowance_permonth,income_rp.0-rp.5.000.000,income_rp.5.000.000-rp.16.000.000,income_>_rp_30.000.000,prefer_not_to_answer,ordering_amount,spending_amount,goingout_amount,transportation,appetizer,dessert,main_course,availability_range_of_choice,comfort_convenience_dining_experience,deals_and_payment_option,price_cost,time_consumption,interest_output,expense_output
17,0,500000.0,0,1,0,0,3.0,400000.0,2.0,0,0,0,1,1,0,1,0,1,0,0
17,0,1400000.0,0,0,0,1,2.0,400000.0,4.0,0,1,0,1,1,0,1,1,0,0,0
16,0,1000000.0,0,0,1,0,1.0,200000.0,5.0,0,0,0,1,0,0,1,0,0,0,0
17,1,500000.0,0,0,1,0,1.0,400000.0,1.0,0,1,0,0,1,0,0,1,0,0,0
17,1,1000000.0,0,0,0,1,4.0,320000.0,3.0,0,1,0,1,0,0,0,0,1,0,0
17,0,2000000.0,0,0,0,1,1.0,376428.5714285714,2.0,0,1,0,0,1,0,0,0,0,0,0
17,0,200000.0,0,0,0,1,0.0,200000.0,2.0,1,1,0,0,0,0,0,0,1,1,1
17,0,600000.0,1,0,0,0,1.0,200000.0,2.0,0,1,1,0,0,1,0,0,1,0,0
17,1,600000.0,0,0,0,1,1.0,200000.0,3.0,0,1,1,1,1,0,0,0,0,0,0
17,0,500000.0,0,0,0,1,2.0,160000.0,2.0,0,0,0,1,0,1,0,0,0,1,0
17,0,1000000.0,0,0,0,1,2.0,400000.0,3.0,0,0,0,1,0,0,0,0,1,1,0
15,1,1000000.0,0,0,0,1,3.0,800000.0,2.0,0,0,0,1,0,1,1,0,0,0,0
16,1,125000.0,0,0,0,1,1.0,120000.0,2.0,0,1,1,0,1,0,1,0,0,0,1
17,1,300000.0,0,0,0,1,1.0,200000.0,2.0,0,1,1,1,1,0,1,0,0,0,0
15,1,3000000.0,0,0,0,1,2.0,400000.0,1.0,0,1,0,0,0,0,0,0,1,0,0
16,0,660000.0,0,0,0,1,0.7,280000.0,0.3,1,0,0,1,1,0,0,0,0,0,0
15,0,300000.0,0,1,0,0,2.0,200000.0,2.0,0,1,0,1,1,1,1,0,1,0,0
17,0,200000.0,0,0,1,0,1.0,200000.0,2.0,0,1,0,1,0,0,1,0,1,1,1
16,0,100000.0,0,1,0,0,2.0,160000.0,2.0,0,1,0,1,1,1,1,0,1,0,0
17,0,100000.0,0,0,0,1,3.0,240000.0,2.0,0,1,0,0,0,1,0,0,1,1,0
16,1,150000.0,0,0,0,1,1.0,120000.0,2.0,0,0,1,1,1,0,0,0,1,1,1
16,1,1000000.0,0,0,0,1,1.0,300000.0,2.0,0,1,0,1,0,0,1,1,1,0,1
16,1,500000.0,0,0,0,1,1.0,200000.0,2.0,0,1,0,0,1,0,0,0,1,1,0
17,1,500000.0,0,0,0,1,5.0,376428.5714285714,1.0,0,1,0,1,1,0,0,0,1,0,0
16,0,600000.0,0,0,0,1,1.0,280000.0,1.0,1,1,1,1,1,1,0,0,1,0,1
16,1,700000.0,0,0,0,1,2.0,400000.0,2.0,0,1,1,1,1,1,1,0,1,0,0
15,1,150000.0,0,0,0,1,1.0,120000.0,6.0,0,1,0,1,1,0,1,0,1,0,0
16,1,688916.6666666666,0,0,0,1,0.0,376428.5714285714,1.0,1,1,0,1,0,1,0,0,0,0,0
16,1,1500000.0,0,0,0,1,3.0,800000.0,1.0,0,1,0,0,1,0,0,0,0,0,0
15,0,800000.0,0,0,0,1,1.0,400000.0,1.0,0,0,0,1,0,1,1,0,1,0,0
15,1,650000.0,0,0,0,1,2.0,600000.0,2.0,0,1,0,0,1,0,0,0,1,1,1
17,0,300000.0,0,0,0,1,2.0,200000.0,1.0,1,0,0,1,0,1,1,0,0,0,0
15,0,500000.0,0,0,0,1,4.0,140000.0,1.0,0,0,0,1,0,1,0,0,0,1,1
15,0,688916.6666666666,0,0,1,0,0.0,376428.5714285714,0.0,0,0,0,1,0,1,0,0,1,0,0
15,1,500000.0,0,1,0,0,3.0,400000.0,2.0,1,1,0,1,1,1,0,0,0,1,1
16,1,300000.0,0,0,0,1,2.0,800000.0,2.0,0,1,0,1,0,1,0,0,0,1,1
16,1,500000.0,0,0,0,1,2.0,400000.0,3.0,0,0,0,1,1,0,0,0,1,1,1
15,0,1500000.0,0,0,0,1,1.0,120000.0,1.0,0,0,0,1,0,1,0,0,0,0,0
16,0,600000.0,0,0,0,1,1.0,300000.0,4.0,1,1,0,1,1,1,0,0,1,0,0
15,1,200000.0,0,0,0,1,0.0,40000.0,1.0,0,1,1,0,0,0,0,0,1,0,1
16,1,800000.0,0,0,1,0,1.0,376428.5714285714,2.0,0,1,0,1,1,0,1,1,0,0,1
17,0,500000.0,0,0,0,1,3.0,376428.5714285714,3.0,0,0,0,1,0,1,0,0,0,1,0
15,0,200000.0,0,0,0,1,0.0,120000.0,1.0,0,1,0,0,1,0,0,0,1,0,0
15,1,500000.0,0,0,0,1,1.0,200000.0,2.0,0,1,0,0,1,0,1,0,1,0,0
15,0,688916.6666666666,0,1,0,0,0.0,376428.5714285714,1.0,0,1,0,0,0,0,0,0,1,1,1
16,1,400000.0,0,0,0,1,2.0,400000.0,4.0,0,0,0,1,0,0,0,0,1,0,0
17,1,500000.0,0,0,0,1,3.0,800000.0,2.0,0,0,0,1,0,1,0,0,1,0,0
16,1,700000.0,0,0,0,1,4.0,140000.0,2.0,1,0,0,1,0,0,1,0,1,1,1
16,1,200000.0,0,0,0,1,2.0,160000.0,1.0,0,0,0,1,0,0,0,1,0,0,0
16,1,300000.0,0,0,0,1,2.0,120000.0,2.0,0,1,1,0,0,0,0,1,1,0,0
15,1,750000.0,0,1,0,0,1.0,376428.5714285714,1.0,1,1,0,0,0,0,0,0,1,0,0
18,0,300000.0,0,0,0,1,2.0,240000.0,2.0,1,1,0,1,1,1,1,0,0,0,0
17,0,500000.0,0,0,0,1,5.0,400000.0,5.0,0,1,0,1,0,1,0,0,1,0,0
16,0,2000000.0,0,0,0,1,7.0,1000000.0,5.0,0,1,0,1,1,0,0,1,1,0,1
16,0,400000.0,0,0,0,1,1.0,200000.0,2.0,0,1,1,0,1,0,0,0,1,0,0
15,1,688916.6666666666,1,0,0,0,1.0,400000.0,1.0,0,0,0,1,1,0,0,0,0,0,0
16,1,1500000.0,0,0,0,1,3.0,376428.5714285714,1.0,0,1,1,0,0,0,0,0,1,0,0
15,1,1000000.0,0,0,0,1,2.0,400000.0,1.0,0,1,1,0,1,1,0,0,0,0,0
15,0,688916.6666666666,0,1,0,0,2.0,160000.0,1.0,0,0,0,1,0,0,1,0,1,1,1
17,0,500000.0,0,0,1,0,3.0,400000.0,2.0,0,0,0,1,1,0,0,0,1,0,0
16,0,1000000.0,0,0,1,0,4.0,400000.0,3.0,0,1,0,1,1,0,1,0,1,0,0
16,0,750000.0,0,0,1,0,3.0,600000.0,2.0,1,1,0,1,1,0,0,0,1,0,0
16,1,200000.0,0,0,0,1,1.0,80000.0,3.0,0,0,0,1,1,0,0,0,1,1,1
17,1,1000000.0,0,0,0,1,1.0,200000.0,3.0,0,0,1,1,0,1,1,0,1,0,0
17,0,1300000.0,0,0,1,0,3.0,680000.0,2.0,0,1,0,1,0,1,0,0,1,0,0
